学校名称	学校排名(QS)	学院名称	专业名称
伯明翰大学	76	人类大脑健康中心	认知神经影像学与数据科学
伯明翰大学	76	伯明翰医学院	临床神经精神病学硕士
伯明翰大学	76	伯明翰医学院	临床肿瘤学硕士
伯明翰大学	76	伯明翰医学院	临床试验硕士
伯明翰大学	76	伯明翰医学院	人工智能实施（医疗保健）硕士
伯明翰大学	76	伯明翰医学院	健康数据科学硕士
伯明翰大学	76	伯明翰医学院	免疫学和免疫疗法硕士
伯明翰大学	76	伯明翰医学院	公共卫生硕士
伯明翰大学	76	伯明翰医学院	公共卫生硕士(全球卫生)
伯明翰大学	76	伯明翰医学院	助产学硕士
伯明翰大学	76	伯明翰医学院	卫生研究方法硕士
伯明翰大学	76	伯明翰医学院	卫生经济学和卫生政策硕士
伯明翰大学	76	伯明翰医学院	卫生经济学和计量经济学硕士
伯明翰大学	76	伯明翰医学院	呼吸系统医学硕士
伯明翰大学	76	伯明翰医学院	国际人口健康管理硕士
伯明翰大学	76	伯明翰医学院	基因组医学硕士
伯明翰大学	76	伯明翰医学院	微生物学和感染学硕士
伯明翰大学	76	伯明翰医学院	执业医师助理研究硕士
伯明翰大学	76	伯明翰医学院	牙科材料学科学硕士
伯明翰大学	76	伯明翰医学院	生物信息学硕士
伯明翰大学	76	伯明翰医学院	生物医学创新硕士
伯明翰大学	76	伯明翰医学院	生物医学硕士
伯明翰大学	76	伯明翰法学院	人权法法学硕士
伯明翰大学	76	伯明翰法学院	全球犯罪学与刑事司法硕士
伯明翰大学	76	伯明翰法学院	全球能源与环境法法律硕士
伯明翰大学	76	伯明翰法学院	刑法和刑事司法法学硕士
伯明翰大学	76	伯明翰法学院	商业、银行和金融法法律硕士
伯明翰大学	76	伯明翰法学院	商业法法学硕士
伯明翰大学	76	伯明翰法学院	国际人权法硕士
伯明翰大学	76	伯明翰法学院	国际刑事法律和司法法学硕士
伯明翰大学	76	伯明翰法学院	国际商业法法学硕士
伯明翰大学	76	伯明翰法学院	国际商法法学硕士
伯明翰大学	76	伯明翰法学院	国际法与安全法学硕士
伯明翰大学	76	伯明翰法学院	国际纠纷法法律硕士
伯明翰大学	76	伯明翰法学院	普通法学硕士
伯明翰大学	76	伯明翰法学院	法律、数据和技术硕士
伯明翰大学	76	伯明翰法学院	法律与社会正义硕士
伯明翰大学	76	伯明翰法学院	法律法学硕士
伯明翰大学	76	伯明翰法学院	环境、社会和治理法及政策法学硕士
伯明翰大学	76	伯明翰法学院	知识产权法法律硕士
伯明翰大学	76	体育、运动与康复学院	临床运动生理学硕士
伯明翰大学	76	体育、运动与康复学院	体育商业、管理与领导力硕士
伯明翰大学	76	体育、运动与康复学院	体育数据科学与人工智能硕士
伯明翰大学	76	体育、运动与康复学院	手法治疗物理治疗硕士
伯明翰大学	76	体育、运动与康复学院	物理治疗硕士（注册前）
伯明翰大学	76	体育、运动与康复学院	运动与锻炼医学硕士
伯明翰大学	76	体育、运动与康复学院	高性能运动硕士
伯明翰大学	76	冶金和材料学院	材料科学与工程硕士
伯明翰大学	76	冶金和材料学院	空间工程硕士
伯明翰大学	76	化工学院	可持续材料硕士
伯明翰大学	76	化工工程学院	全球能源技术和系统硕士
伯明翰大学	76	化工工程学院	可持续化硕士
伯明翰大学	76	化工工程学院	可持续能源工程硕士
伯明翰大学	76	化工工程学院	食品安全、卫生和管理硕士
伯明翰大学	76	化工工程学院	高级化学工程硕士
伯明翰大学	76	历史与文化学院	历史（中世纪和早期现代史）硕士
伯明翰大学	76	历史与文化学院	历史（全球历史）硕士
伯明翰大学	76	历史与文化学院	历史与政治硕士
伯明翰大学	76	历史与文化学院	历史学（近现代史）硕士
伯明翰大学	76	历史与文化学院	历史硕士
伯明翰大学	76	历史与文化学院	古代硕士（古典文学与古代史）
伯明翰大学	76	历史与文化学院	性别与性向硕士
伯明翰大学	76	历史与文化学院	非洲与发展硕士
伯明翰大学	76	发展科学中心	发育科学与神经多样性硕士
伯明翰大学	76	哲学、神学与宗教学院	伊斯兰研究硕士
伯明翰大学	76	哲学、神学与宗教学院	全球伦理与正义硕士
伯明翰大学	76	哲学、神学与宗教学院	哲学、心理健康和心理学硕士
伯明翰大学	76	哲学、神学与宗教学院	哲学硕士
伯明翰大学	76	哲学、神学与宗教学院	国际法、伦理和政治学硕士
伯明翰大学	76	哲学、神学与宗教学院	宗教、政治和社会硕士
伯明翰大学	76	哲学、神学与宗教学院	宗教哲学与伦理学硕士
伯明翰大学	76	哲学、神学与宗教学院	神学与宗教硕士
伯明翰大学	76	商学院	人力资源管理硕士
伯明翰大学	76	商学院	会计与金融硕士
伯明翰大学	76	商学院	供应链管理硕士
伯明翰大学	76	商学院	可持续创新和企业家精神硕士
伯明翰大学	76	商学院	可持续金融硕士
伯明翰大学	76	商学院	商业分析硕士
伯明翰大学	76	商学院	国际商务硕士
伯明翰大学	76	商学院	国际商务硕士（一月）
伯明翰大学	76	商学院	工商管理硕士
伯明翰大学	76	商学院	市场营销学硕士
伯明翰大学	76	商学院	战略营销和咨询硕士
伯明翰大学	76	商学院	投资学硕士
伯明翰大学	76	商学院	管理学硕士
伯明翰大学	76	商学院	经济学、人工智能与数据科学硕士
伯明翰大学	76	商学院	经济学硕士
伯明翰大学	76	商学院	财务管理硕士
伯明翰大学	76	商学院	货币、银行和金融硕士
伯明翰大学	76	商学院	金融科技硕士
伯明翰大学	76	商学院	金融经济学硕士
伯明翰大学	76	地理、地球和环境学院	
伯明翰大学	76	工程学院	
伯明翰大学	76	心理学学院	
伯明翰大学	76	护理和助产学院	
伯明翰大学	76	政府学院	
伯明翰大学	76	教育学院	
伯明翰大学	76	数学学院	
伯明翰大学	76	物理和天文学学院	
伯明翰大学	76	生物科学学院	
伯明翰大学	76	社会政策学院	
伯明翰大学	76	英语、戏剧和创意研究学院	
伯明翰大学	76	药学院	
伯明翰大学	76	计算机科学学院	
伯明翰大学	76	语言、文化、艺术史和音乐学院	
伯明翰大学	76	铁桥遗址中心	
利兹大学	86	中世纪研究学院	中世纪研究硕士
利兹大学	86	交通研究所	交通可持续发展理学硕士
利兹大学	86	交通研究所	交通经济学理学硕士
利兹大学	86	交通研究所	交通规划与工程理学硕士
利兹大学	86	交通研究所	交通规划与环境硕士
利兹大学	86	交通研究所	交通规划理学硕士
利兹大学	86	交通研究所	铁路运营、管理与政策理学硕士
利兹大学	86	利兹商学院	人力资源管理硕士
利兹大学	86	利兹商学院	企业与创业硕士
利兹大学	86	利兹商学院	企业传播、市场营销和公共关系硕士
利兹大学	86	利兹商学院	会计与金融理学硕士
利兹大学	86	利兹商学院	信息系统与数字创新管理硕士
利兹大学	86	利兹商学院	全球供应链管理理学硕士
利兹大学	86	利兹商学院	全球战略与创新管理理学硕士
利兹大学	86	利兹商学院	商业分析与决策科学理学硕士
利兹大学	86	利兹商学院	国际商务硕士
利兹大学	86	利兹商学院	国际营销管理理学硕士
利兹大学	86	利兹商学院	工商管理硕士
利兹大学	86	利兹商学院	广告学市场营销管理硕士
利兹大学	86	利兹商学院	数据分析与人力资源管理理学硕士
利兹大学	86	利兹商学院	消费者分析与营销战略理学硕士
利兹大学	86	利兹商学院	管理咨询理学硕士
利兹大学	86	利兹商学院	管理理学硕士
利兹大学	86	利兹商学院	组织心理学与商业硕士
利兹大学	86	利兹商学院	经济与金融理学硕士
利兹大学	86	利兹商学院	经济学理学硕士
利兹大学	86	利兹商学院	金融与投资理学硕士
利兹大学	86	利兹商学院	金融数学理学硕士
利兹大学	86	利兹商学院	金融风险管理硕士
利兹大学	86	利兹商学院	银行与国际金融理学硕士
利兹大学	86	化学与工艺工程学院	材料科学与工程理学硕士
利兹大学	86	化学与工艺工程学院	能源与环境工程硕士
利兹大学	86	化学与工艺工程学院	高级化学工程理学硕士
利兹大学	86	化学学院	化学理学硕士
利兹大学	86	化学学院	可持续发展科学技术硕士
利兹大学	86	化学学院	数字与自动化化学硕士
利兹大学	86	医学院	临床胚胎学和辅助生殖技术硕士
利兹大学	86	医学院	健康信息学与数据科学理学硕士
利兹大学	86	医学院	健康研究硕士
利兹大学	86	医学院	公共卫生（国际）硕士
利兹大学	86	医学院	分子医学理学硕士
利兹大学	86	医学院	医学影像理学硕士
利兹大学	86	医学院	国际健康理学硕士
利兹大学	86	医学院	心血管健康与疾病硕士
利兹大学	86	历史学院	国际历史硕士
利兹大学	86	历史学院	现代史硕士
利兹大学	86	哲学、宗教与科学史学院	哲学硕士
利兹大学	86	哲学、宗教与科学史学院	宗教硕士
利兹大学	86	土木工程学院	交通基础设施：设计与施工理学硕士
利兹大学	86	土木工程学院	国际建筑管理与工程硕士
利兹大学	86	土木工程学院	岩土工程理学硕士
利兹大学	86	土木工程学院	工程项目管理硕士
利兹大学	86	土木工程学院	建筑学硕士
利兹大学	86	土木工程学院	建筑设计硕士
利兹大学	86	土木工程学院	水、卫生与健康工程理学硕士
利兹大学	86	土木工程学院	环境工程与项目管理理学硕士
利兹大学	86	土木工程学院	结构工程理学硕士
利兹大学	86	土木工程学院	铁路工程与项目管理理学硕士
利兹大学	86	地球与环境学院	勘探地球物理学理学硕士
利兹大学	86	地球与环境学院	可持续发展与咨询理学硕士
利兹大学	86	地球与环境学院	可持续发展与商业理学硕士
利兹大学	86	地球与环境学院	可持续城市理学硕士
利兹大学	86	地球与环境学院	可持续性、环境与发展硕士
利兹大学	86	地球与环境学院	可持续粮食系统与粮食安全硕士 
利兹大学	86	地球与环境学院	工程地质学理学硕士
利兹大学	86	地球与环境学院	气候未来硕士：科学、社会和政治
利兹大学	86	地球与环境学院	环境科学硕士
利兹大学	86	地球与环境学院	生态经济学理学硕士
利兹大学	86	地理学院	地理信息系统理学硕士 
利兹大学	86	地理学院	城市数据科学与分析理学硕士
利兹大学	86	地理学院	环境数据科学与分析硕士
利兹大学	86	媒体与传播学院	传播与媒体硕士
利兹大学	86	媒体与传播学院	国际传播硕士
利兹大学	86	媒体与传播学院	国际新闻学硕士
利兹大学	86	媒体与传播学院	媒体行业硕士
利兹大学	86	媒体与传播学院	宣传媒体硕士
利兹大学	86	媒体与传播学院	政治传播硕士
利兹大学	86	媒体与传播学院	数字媒体硕士
利兹大学	86	媒体与传播学院	电影、摄像与媒体硕士
利兹大学	86	心理学院	健康心理学硕士
利兹大学	86	心理学院	认知发展与障碍理学硕士
利兹大学	86	政治与国际研究学院	全球发展与教育硕士
利兹大学	86	政治与国际研究学院	全球发展硕士
利兹大学	86	政治与国际研究学院	全球政治经济学硕士
利兹大学	86	政治与国际研究学院	全球治理与外交硕士
利兹大学	86	政治与国际研究学院	冲突、发展与和平建设硕士
利兹大学	86	政治与国际研究学院	国际关系硕士
利兹大学	86	政治与国际研究学院	国际安全硕士
利兹大学	86	政治与国际研究学院	恐怖主义与叛乱硕士
利兹大学	86	政治与国际研究学院	政治学理学硕士
利兹大学	86	教育学院	TESOL研究硕士
利兹大学	86	教育学院	儿童研究硕士
利兹大学	86	教育学院	对外英语教学硕士
利兹大学	86	教育学院	对外英语教学硕士（中国）
利兹大学	86	教育学院	教育学硕士
利兹大学	86	数学学院	数学理学硕士
利兹大学	86	数学学院	数据科学与分析理学硕士
利兹大学	86	数学学院	统计学与金融应用理学硕士
利兹大学	86	数学学院	统计学理学硕士
利兹大学	86	机械工程学院	医学工程理学硕士
利兹大学	86	机械工程学院	机电一体化与机器人工程硕士
利兹大学	86	机械工程学院	汽车工程理学硕士
利兹大学	86	机械工程学院	航空航天工程理学硕士
利兹大学	86	机械工程学院	高级制造与自动化硕士
利兹大学	86	机械工程学院	高级机械工程理学硕士
利兹大学	86	法学院	刑事司法与刑法法学硕士
利兹大学	86	法学院	刑事司法与犯罪学理学硕士
利兹大学	86	法学院	国际人权法法学硕士
利兹大学	86	法学院	国际公司法法学硕士
利兹大学	86	法学院	国际商法法学硕士
利兹大学	86	法学院	国际法与全球治理法学硕士
利兹大学	86	法学院	国际贸易法法学硕士
利兹大学	86	法学院	国际银行与金融法法学硕士
利兹大学	86	法学院	法律与社会正义法学硕士
利兹大学	86	法学院	法律与金融理学硕士
利兹大学	86	法学院	知识产权法法学硕士
利兹大学	86	牙科学院	口腔外科理学硕士
利兹大学	86	牙科学院	牙科公共卫生理学硕士
利兹大学	86	牙科学院	牙科材料理学硕士
利兹大学	86	物理与天文学学院	物理理学硕士
利兹大学	86	物理与天文学学院	空间物理学硕士
利兹大学	86	生物科学学院	全球保护科学理学硕士
利兹大学	86	生物科学学院	可持续农业与食品生产硕士
利兹大学	86	生物科学学院	感染，免疫与人类疾病理学硕士
利兹大学	86	生物科学学院	植物科学与生物技术理学硕士
利兹大学	86	生物科学学院	生物制药发展（产业布局）理学硕士
利兹大学	86	生物科学学院	生物制药发展理学硕士
利兹大学	86	生物科学学院	生物多样性与保护与非洲实地课程理学硕士
利兹大学	86	生物科学学院	生物多样性与保护理学硕士
利兹大学	86	生物科学学院	生物技术与商业企业理学硕士
利兹大学	86	生物科学学院	生物科学理学硕士
利兹大学	86	生物科学学院	精准医学：基因组学与分析理学硕士
利兹大学	86	生物科学学院	药物发现与开发理学硕士
利兹大学	86	生物科学学院	运动与运动医学理学硕士
利兹大学	86	电子与电气工程学院	嵌入式系统工程理学硕士
利兹大学	86	电子与电气工程学院	工程、技术与商业管理硕士
利兹大学	86	电子与电气工程学院	电子与电气工程理学硕士
利兹大学	86	电子与电气工程学院	电气工程与可再生能源系统理学硕士
利兹大学	86	电子与电气工程学院	通信与信号处理理学硕士
利兹大学	86	社会学与社会政策学院	性别研究硕士
利兹大学	86	社会学与社会政策学院	社会、文化与传媒硕士
利兹大学	86	社会学与社会政策学院	社会与公共政策硕士
利兹大学	86	社会学与社会政策学院	社会研究硕士
利兹大学	86	美术、艺术史与文化研究学院	批判与文化理论硕士
利兹大学	86	美术、艺术史与文化研究学院	美术硕士
利兹大学	86	美术、艺术史与文化研究学院	美术馆与博物馆研究硕士
利兹大学	86	美术、艺术史与文化研究学院	艺术社会史硕士
利兹大学	86	美术、艺术史与文化研究学院	艺术管理与遗产研究硕士
利兹大学	86	英语学院	创意写作硕士
利兹大学	86	英语学院	后殖民研究硕士
利兹大学	86	英语学院	数字人文与文化硕士
利兹大学	86	英语学院	英国文学硕士
利兹大学	86	表演与文化产业学院	全球表演与文化产业硕士
利兹大学	86	表演与文化产业学院	应用戏剧与社会变革硕士
利兹大学	86	表演与文化产业学院	文化、创意与创业硕士
利兹大学	86	表演与文化产业学院	表演和数字媒体写作硕士
利兹大学	86	表演与文化产业学院	表演设计硕士
利兹大学	86	表演与文化产业学院	观众与参与硕士
利兹大学	86	计算机学院	高性能图形与游戏工程理学硕士
利兹大学	86	计算机学院	高级计算机科学（云计算）理学硕士
利兹大学	86	计算机学院	高级计算机科学（人工智能）理学硕士
利兹大学	86	计算机学院	高级计算机科学（数据分析）理学硕士
利兹大学	86	计算机学院	高级计算机科学理学硕士
利兹大学	86	设计学院	全球时尚管理硕士
利兹大学	86	设计学院	广告与设计硕士
利兹大学	86	设计学院	数字设计未来硕士
利兹大学	86	设计学院	时尚、企业与社会硕士
利兹大学	86	设计学院	纺织可持续发展与创新理学硕士
利兹大学	86	设计学院	设计硕士
利兹大学	86	语言、文化与社会学院	专业语言与跨文化研究硕士
利兹大学	86	语言、文化与社会学院	会议口译与笔译研究硕士
利兹大学	86	语言、文化与社会学院	应用翻译研究硕士
利兹大学	86	语言、文化与社会学院	电影研究硕士
利兹大学	86	语言、文化与社会学院	视听翻译和本地化硕士
利兹大学	86	语言、文化与社会学院	语言学与英语教学硕士
利兹大学	86	语言、文化与社会学院	语言学硕士
利兹大学	86	跨学科伦理应用中心	生物医学和医疗保障伦理学硕士
利兹大学	86	音乐学院	批判和实验性作曲音乐硕士
利兹大学	86	音乐学院	音乐与健康硕士
利兹大学	86	音乐学院	音乐与数据科学硕士
利兹大学	86	音乐学院	音乐学硕士
利兹大学	86	音乐学院	音乐应用心理学硕士
利兹大学	86	音乐学院	音乐管理硕士
利兹大学	86	音乐学院	音乐表演硕士
利兹大学	86	食品科学与营养学院	营养学硕士
利兹大学	86	食品科学与营养学院	食品产品创新硕士
利兹大学	86	食品科学与营养学院	食品科学（食品生物技术）理学硕士
利兹大学	86	食品科学与营养学院	食品科学与营养理学硕士
利兹大学	86	食品科学与营养学院	食品科学理学硕士
南安普顿大学	87	医学院	临床运动生理学硕士
南安普顿大学	87	医学院	公共卫生硕士
南安普顿大学	87	医学院	医疗技术、创新与设计硕士
南安普顿大学	87	医学院	基因组学硕士
南安普顿大学	87	医学院	生物医学科学研究硕士
南安普顿大学	87	医学院	癌症生物学和免疫学硕士
南安普顿大学	87	南安普顿商学院	人力资源管理硕士
南安普顿大学	87	南安普顿商学院	会计与管理硕士
南安普顿大学	87	南安普顿商学院	会计与金融硕士
南安普顿大学	87	南安普顿商学院	可持续金融硕士
南安普顿大学	87	南安普顿商学院	商业分析和管理科学硕士
南安普顿大学	87	南安普顿商学院	商业分析和金融硕士
南安普顿大学	87	南安普顿商学院	商业战略和创新管理硕士
南安普顿大学	87	南安普顿商学院	国际会计与可持续发展硕士
南安普顿大学	87	南安普顿商学院	国际会计与治理硕士
南安普顿大学	87	南安普顿商学院	国际创业与管理硕士
南安普顿大学	87	南安普顿商学院	国际管理硕士
南安普顿大学	87	南安普顿商学院	工商管理硕士
南安普顿大学	87	南安普顿商学院	市场营销分析硕士
南安普顿大学	87	南安普顿商学院	市场营销管理硕士
南安普顿大学	87	南安普顿商学院	战略运营和供应链管理硕士
南安普顿大学	87	南安普顿商学院	数字商务硕士
南安普顿大学	87	南安普顿商学院	数字战略和信息系统硕士
南安普顿大学	87	南安普顿商学院	数字营销硕士
南安普顿大学	87	南安普顿商学院	物流和供应链分析硕士
南安普顿大学	87	南安普顿商学院	管理与人工智能硕士
南安普顿大学	87	南安普顿商学院	管理学硕士
南安普顿大学	87	南安普顿商学院	航运金融硕士
南安普顿大学	87	南安普顿商学院	金融与投资硕士
