学校名称	学校排名(QS)	学院名称	专业名称
伦敦政治经济学院	56	LSE法学院	法律与金融硕士
伦敦政治经济学院	56	LSE法学院	法律硕士
伦敦政治经济学院	56	人类学系	人类学与发展硕士
伦敦政治经济学院	56	人类学系	文化、正义与环境硕士
伦敦政治经济学院	56	人类学系	比较视角下的中国硕士
伦敦政治经济学院	56	人类学系	社会人类学硕士
伦敦政治经济学院	56	人类学系	社会人类学硕士（当代世界的宗教）
伦敦政治经济学院	56	会计系	会计、组织和机构硕士
伦敦政治经济学院	56	会计系	会计与数据分析硕士
伦敦政治经济学院	56	会计系	会计与金融硕士
伦敦政治经济学院	56	公共政策学院	伦敦政治经济学院-哥伦比亚大学公共管理双硕士
伦敦政治经济学院	56	公共政策学院	伦敦政治经济学院-多伦多大学公共管理双硕士（伦敦政治经济学院）和全球事务硕士学位（蒙克学院）
伦敦政治经济学院	56	公共政策学院	伦敦政治经济学院-巴黎政治学院公共管理双硕士
伦敦政治经济学院	56	公共政策学院	公共政策的数据科学硕士
伦敦政治经济学院	56	公共政策学院	公共政策硕士
伦敦政治经济学院	56	公共政策学院	公共管理硕士（MPA）
伦敦政治经济学院	56	卫生政策系	健康数据科学硕士
伦敦政治经济学院	56	卫生政策系	全球卫生政策硕士
伦敦政治经济学院	56	卫生政策系	卫生政策、规划和筹资硕士
伦敦政治经济学院	56	卫生政策系	国际卫生政策（卫生经济学）
伦敦政治经济学院	56	卫生政策系	国际卫生政策硕士
伦敦政治经济学院	56	哲学逻辑与科学方法系	哲学和公共政策硕士
伦敦政治经济学院	56	哲学逻辑与科学方法系	科学哲学硕士
伦敦政治经济学院	56	哲学逻辑与科学方法系	经济学与社会科学哲学硕士
伦敦政治经济学院	56	国际关系学系	伦敦政治经济学院-巴黎政治大学双学位-国际商务
伦敦政治经济学院	56	国际关系学系	国际关系硕士
伦敦政治经济学院	56	国际关系学系	国际关系硕士（研究）
伦敦政治经济学院	56	国际关系学系	国际政治经济学硕士
伦敦政治经济学院	56	国际关系学系	国际政治经济学硕士（研究）
伦敦政治经济学院	56	国际历史系	伦敦政治经济学院-北京大学国际事务双硕士学位
伦敦政治经济学院	56	国际历史系	伦敦政治经济学院-哥伦比亚大学国际和世界历史双硕士
伦敦政治经济学院	56	国际历史系	伦敦政治经济学院-新加坡国立大学亚洲和国际历史双学位硕士
伦敦政治经济学院	56	国际历史系	国际关系史硕士
伦敦政治经济学院	56	国际历史系	国际关系理论与历史硕士
伦敦政治经济学院	56	国际历史系	国际和亚洲历史硕士
伦敦政治经济学院	56	国际历史系	帝国、殖民主义和全球化硕士
伦敦政治经济学院	56	国际历史系	现代史硕士
伦敦政治经济学院	56	国际发展系	伦敦政治经济学院-巴黎政治大学发展政治和经济学双学位
伦敦政治经济学院	56	国际发展系	卫生与国际发展硕士
伦敦政治经济学院	56	国际发展系	发展研究硕士
